iteration,timestamp,p,true_positives,false_negatives,false_positives,true_negatives,avg_degree,max_degree
428,12819417,0.45999986,6,0,7,387,6.75,12
429,21434931,0.32999998,0,4,14,382,4.655,9
430,1560620,0.43999988,6,0,13,381,6.395,12
431,3436144,0.65999967,5,0,11,384,9.965,15
432,9257967,0.8599995,0,6,16,378,13.215,18
433,13120982,0.7199996,0,5,8,387,10.97,15
434,9487908,0.36999995,4,0,7,389,5.35,11
435,20816939,0.4199999,3,2,9,386,6.055,11
436,5070140,0.5199998,0,5,15,380,7.66,13
437,9794324,0.7199996,0,0,0,0,0.0,0
438,3492674,0.7599996,0,5,9,386,11.685,17
439,3697331,0.47999984,8,0,3,389,7.085,12
440,377991,0.3,0,4,9,387,4.315,12
441,7475708,0.57999974,0,6,11,383,8.575,14
442,2028771,0.6299997,0,7,10,383,9.185,14
443,10294387,0.37999994,2,5,18,375,5.35,11
444,11361615,0.5499998,0,5,9,386,8.295,14
445,4564272,0.7499996,7,0,10,383,11.355,16
446,14368329,0.6299997,6,0,21,373,9.515,15
447,4214657,0.48999983,7,0,13,380,7.305,12
448,1605608,0.5299998,6,0,4,390,7.835,14
449,8750006,0.4199999,6,0,11,383,6.08,12
450,17173070,0.77999955,2,0,26,372,11.79,17
451,12374255,0.7499996,5,0,7,388,11.31,16
452,1595606,0.5199998,4,0,5,391,7.72,13
453,2124974,0.89999944,0,0,0,0,0.0,0
454,3824681,0.69999963,6,0,23,371,10.58,16
455,3813063,0.77999955,0,0,0,0,0.0,0
456,19230351,0.4199999,6,0,9,385,6.255,11
457,1113230,0.8299995,0,5,8,387,12.615,18
458,10343013,0.4299999,8,0,8,384,6.235,11
459,8440176,0.78999954,0,3,15,382,11.985,18
460,3557948,0.8599995,0,5,11,384,13.14,19
461,3457018,0.7099996,0,4,17,379,10.87,16
462,8034905,0.46999985,4,2,16,378,6.925,12
463,8532685,0.8599995,4,0,22,374,13.16,18
464,21479878,0.35999995,5,0,14,381,5.175,11
465,3286842,0.9699994,0,9,9,382,14.925,20
466,6168394,0.88999945,0,0,0,0,0.0,0
467,6667244,0.5999997,0,5,18,377,9.18,15
468,2554411,0.32,0,4,14,382,4.525,9
469,13325102,0.9499994,0,0,0,0,0.0,0
470,21372648,0.90999943,8,0,16,376,14.07,19
471,2086314,0.8199995,0,0,0,0,0.0,0
472,8130821,0.56999975,2,2,3,393,8.37,14
473,17435715,0.3,0,6,11,383,4.15,9
474,19598474,0.8299995,0,0,0,0,0.0,0
475,1579755,0.47999984,0,7,9,384,7.11,12
476,1297987,0.69999963,0,0,0,0,0.0,0
477,1777262,0.8399995,3,0,22,375,12.78,18
478,17259433,0.8299995,0,6,11,383,12.88,18
479,4978553,0.4199999,3,2,15,380,6.12,12
480,10080856,0.9599994,0,0,0,0,0.0,0
481,21089467,0.68999964,0,6,12,382,10.405,15
482,11292996,0.48999983,3,0,16,381,7.265,13
483,9740435,0.5999997,0,5,10,385,8.98,14
484,4498080,0.7199996,6,0,7,387,10.855,16
485,1909453,0.99999934,0,4,8,388,15.4,20
486,19962210,0.43999988,0,4,13,383,6.305,11
487,3757743,0.58999974,0,5,10,385,8.735,15
488,2137304,0.79999954,3,1,10,386,12.05,17
489,2258609,0.44999987,0,4,19,377,6.87,12
490,3216643,0.86999947,2,2,22,374,13.41,20
491,13813935,0.58999974,7,0,16,377,8.975,14
492,21596108,0.47999984,0,6,11,383,6.925,12
493,4533890,0.7399996,0,5,15,380,11.25,17
494,12089524,0.5399998,6,0,11,383,8.185,14
495,20386156,0.77999955,5,0,14,381,11.83,18
496,3120845,0.7299996,0,7,9,384,11.02,17
497,1221646,0.45999986,6,0,6,388,6.795,12
498,9769373,0.6299997,3,4,4,389,9.395,15
499,19524743,0.68999964,1,6,25,368,10.39,15
500,4697921,0.9199994,0,0,0,0,0.0,0
501,18582244,0.6399997,0,10,16,374,9.62,16
502,20015883,0.49999982,5,0,8,387,7.405,13
503,3575076,0.86999947,7,0,9,384,13.32,18
504,12812872,0.44999987,0,5,11,384,6.825,13
505,7220096,0.38999993,5,0,17,378,5.58,10
506,18440654,0.5199998,5,1,10,384,7.76,12
507,13579831,0.99999934,0,3,14,383,15.55,22
508,6738291,0.65999967,6,0,7,387,9.825,15
509,10032781,0.90999943,0,0,0,0,0.0,0
510,5532719,0.8399995,6,0,10,384,12.935,19
511,3345784,0.48999983,5,0,9,386,7.155,13
512,21524086,0.38999993,4,0,7,389,5.525,10
513,391330,0.9499994,0,3,13,384,14.885,20
514,17047477,0.68999964,3,2,9,386,10.42,15
515,8273055,0.67999965,4,1,20,375,10.245,16
516,3016954,0.5399998,4,2,16,378,8.235,14
517,445516,0.4099999,5,0,5,390,6.03,12
518,17875571,0.76999956,0,0,0,0,0.0,0
519,3876335,0.79999954,0,4,13,383,12.285,17
520,4694895,0.90999943,0,0,0,0,0.0,0
521,19977923,0.45999986,6,0,11,383,6.75,12
522,6599283,0.5399998,3,0,13,384,8.0,13
523,17788336,0.5999997,0,4,13,383,9.2,15
524,17286894,0.8499995,0,7,8,385,13.005,18
525,13284697,0.8299995,0,6,11,383,12.705,17
526,20519751,0.9399994,0,0,0,0,0.0,0
527,6049368,0.68999964,6,0,11,383,10.43,15
528,19403634,0.5999997,5,0,16,379,9.085,14
529,8192694,0.6199997,0,5,12,383,9.205,14
530,21320448,0.88999945,0,5,18,377,13.715,19
